count,subject_id,subject
7684,2,Mathematics - Representation Theory
8405,38,Mathematics - Geometric Topology
9153,100,Mathematics - Functional Analysis
10053,21,Mathematics - Dynamical Systems
10564,58,Condensed Matter
12678,35,High Energy Physics - Lattice
12783,67,Condensed Matter - Soft Condensed Matter
14108,75,Computer Science - Information Theory
14197,95,Astrophysics - Astrophysics of Galaxies
14541,119,Astrophysics - High Energy Astrophysical Phenomena
14614,108,Mathematics - Number Theory
14625,141,High Energy Physics - Experiment
16099,72,Mathematics - Differential Geometry
16540,24,Condensed Matter - Superconductivity
18183,90,Condensed Matter - Materials Science
18258,139,Mathematics - Analysis of PDEs
18481,103,Mathematics - Combinatorics
18746,136,Mathematics - Probability
18880,70,Astrophysics - Solar and Stellar Astrophysics
20123,59,Mathematical Physics
20338,116,Mathematics - Algebraic Geometry
21892,82,Nuclear Theory
22109,61,Astrophysics - Cosmology and Nongalactic Astrophysics
25242,25,Condensed Matter - Strongly Correlated Electrons
25485,13,Condensed Matter - Statistical Mechanics
28599,145,Condensed Matter - Mesoscale and Nanoscale Physics
35501,78,General Relativity and Quantum Cosmology
43808,54,Quantum Physics
72230,51,High Energy Physics - Theory
83874,117,Astrophysics
88684,120,High Energy Physics - Phenomenology
